date,category,amount,note
2026-01-03,Food,240,Burger
2026-01-04,Transport,180,Uber
2026-01-05,Subscriptions,499,Netflix
2026-01-06,Shopping,1450,T-shirt
2026-01-07,Entertainment,620,Movie
2026-01-08,Bills,2100,Electricity
2026-01-09,Food,320,Pizza
2026-01-10,Gaming,1299,Steam Game
2026-01-11,Education,450,Notebook
2026-01-12,Health,780,Medicine
2026-01-13,Transport,95,Metro
2026-01-14,Food,160,Coffee
2026-01-15,Shopping,2200,Sneakers
2026-01-16,Bills,1450,Internet
2026-01-17,Entertainment,850,Concert
2026-01-18,Subscriptions,299,Spotify
2026-01-19,Food,410,Sushi
2026-01-20,Gaming,2499,Game Pass
2026-01-21,Transport,260,Taxi
2026-01-22,Education,980,Online Course
2026-01-23,Health,1200,Dentist
2026-01-24,Food,90,Tea
2026-01-25,Shopping,3500,Headphones
2026-01-26,Bills,2700,Rent
2026-01-27,Entertainment,400,Bowling
2026-01-28,Subscriptions,799,Adobe
2026-01-29,Food,280,Wrap
2026-01-30,Transport,70,Bus
2026-02-01,Education,320,Pens
2026-02-02,Gaming,699,Mobile Game
2026-02-03,Health,540,Vitamins
2026-02-04,Food,450,Pasta
2026-02-05,Shopping,1800,Jacket
2026-02-06,Bills,980,Water Bill
2026-02-07,Entertainment,1200,Theme Park
2026-02-08,Transport,300,Rickshaw
2026-02-09,Subscriptions,149,Cloud Storage
2026-02-10,Food,210,Sandwich
2026-02-11,Gaming,3200,Keyboard
2026-02-12,Education,600,Reference Book
2026-02-13,Health,890,Checkup
2026-02-14,Transport,130,Fuel
2026-02-15,Food,700,Steak
2026-02-16,Shopping,2750,Backpack
2026-02-17,Bills,1900,Phone Bill
2026-02-18,Entertainment,350,Arcade
2026-02-19,Subscriptions,999,YouTube Premium
2026-02-20,Food,120,Donut
2026-02-21,Gaming,4500,Gaming Mouse
2026-02-22,Education,1500,Workshop
2026-02-23,Health,300,Protein Bar
2026-02-24,Transport,220,Cab
2026-02-25,Food,560,Biryani
2026-02-26,Shopping,800,Cap
2026-02-27,Bills,2400,Gas Bill
2026-02-28,Entertainment,980,Karaoke
2026-03-01,Subscriptions,249,Music App
2026-03-02,Food,190,Fries
2026-03-03,Gaming,2200,Controller
2026-03-04,Education,430,Calculator
2026-03-05,Health,1500,Eye Test
2026-03-06,Transport,85,Train
2026-03-07,Food,670,BBQ
2026-03-08,Shopping,3100,Watch
2026-03-09,Bills,1750,Electric Repair
2026-03-10,Entertainment,740,Streaming Rental
2026-03-11,Subscriptions,399,VPN
2026-03-12,Food,260,Noodles
2026-03-13,Gaming,1800,Game Credits
2026-03-14,Education,2100,Tuition
2026-03-15,Health,470,Pharmacy
2026-03-16,Transport,150,Auto
2026-03-17,Food,390,Tacos
2026-03-18,Shopping,920,Sunglasses
2026-03-19,Bills,2800,Maintenance
2026-03-20,Entertainment,1300,Stand-up Show
2026-03-21,Subscriptions,199,News App
2026-03-22,Food,175,Ice Cream
2026-03-23,Gaming,2600,SSD Upgrade
2026-03-24,Education,540,Stationery
2026-03-25,Health,650,Bandages
2026-03-26,Transport,340,Airport Taxi
2026-03-27,Food,480,Ramen
2026-03-28,Shopping,1999,Jeans
2026-03-29,Bills,3200,House Rent
2026-03-30,Entertainment,560,Comedy Club
2026-03-31,Subscriptions,349,Antivirus
2026-04-01,Food,130,Bagel
2026-04-02,Gaming,1100,Indie Game
2026-04-03,Education,1250,Exam Fee
2026-04-04,Health,2200,Physiotherapy
2026-04-05,Transport,180,Metro Card
2026-04-06,Food,720,Seafood
2026-04-07,Shopping,450,Wallet
2026-04-08,Bills,1600,WiFi Bill
